experiment_id	timestamp	hypothesis	change_type	files_changed	verification	claude_review	codex_review	status	description
EXP-001	2026-04-24T17:24:18Z	AUTO-001 Add a focused regression around monitor summary handling of partially present artifacts if coverage gap remains after inspecting tests.	test_add	tests/test_forgeflow_monitor.py	python3 -m pytest tests/test_forgeflow_monitor.py::test_monitor_summarizes_partial_review_artifacts_without_run_state -q; python3 -m pytest tests/test_forgeflow_monitor.py -q; git diff --check	Claude: useful read-only partial-artifact UX coverage; fixed must-fix by removing review task_id so directory fallback is proven	Codex: stable tmp_path/subprocess regression; fixed ambiguous task_id fixture; no CI drift	KEEP	Added focused monitor regression for review-report-only task: unknown status, rejected review counted, no artifact error, review finding surfaced. Production code unchanged.
EXP-002	2026-04-24T17:41:22Z	AUTO-002 Audit adapter generated docs for stale safety/recovery wording and add a doc/test guard if drift exists.	manifest_cleanup+test_guard	tests/test_shared_recovery_contract.py; adapters/targets/codex/manifest.yaml; adapters/targets/cursor/manifest.yaml; adapters/generated/codex/CODEX.md; adapters/generated/cursor/HARNESS_CURSOR.md	RED failed on duplicate Codex recovery guidance; focused pytest 4 passed; generate_adapters --check PASS; git diff --check PASS; make validate PASS	Claude ACP unavailable (--acp unsupported); fallback reviewer KEEP: improves UX/safety by centralizing recovery contract; caveat exact/paraphrase guard	Codex ACP unavailable (--acp unsupported); fallback reviewer KEEP: generated docs synced; added exact-once hardening after review	KEEP	Removed duplicated Codex/Cursor recovery guidance from tooling_constraints so canonical Recovery contract is sole source; regenerated adapters; committed 32547d3.
EXP-003	2026-04-24T17:56:40Z	AUTO-003 Inspect validation scripts for missing generated/artifact drift checks and add one narrow contract test if a real gap exists.	validation_fail_closed+test_guard	scripts/validate_generated.py; tests/test_validate_generated.py	RED failed as expected; focused pytest node PASS; py_compile PASS; tests/test_validate_generated.py 7 passed; validate_generated PASS; git diff --check PASS; make validate PASS	Claude ACP unavailable (--acp unsupported); fallback reviewer KEEP: explicit actionable fail-closed generated drift validation; no blockers	Codex ACP unavailable (--acp unsupported); fallback reviewer KEEP: old behavior proven by RED; narrow regression covers intended missing propagation; no blockers	KEEP	Reported git ls-files --others failure instead of silently treating lookup failure as no untracked generated drift; production validation and regression test updated.
EXP-004	2026-04-24T18:11:13Z	AUTO-004 Review Claude hook recovery outputs for actionable wording consistency and add focused smoke coverage for any missing failure class.	hook_safety_guard+test	adapters/targets/claude/hook-bundles/basic-safety/basic_safety_guard.py; tests/test_claude_safety_bundle_hooks.py	RED failed for destructive clean before implementation; py_compile PASS; focused pytest 5 passed; git diff --check PASS; make validate PASS	Claude ACP unavailable (unknown option --acp); fallback reviewer KEEP: useful destructive clean guard with actionable wording; dry-run false positive acceptable for conservative hook	Codex ACP unavailable (unexpected argument --acp); fallback reviewer KEEP: narrow regression proves primary case; added flag-ordering coverage after review	KEEP	Added Claude basic-safety hook guard for destructive git clean -fd/-df and smoke regression verifying block reason plus recovery wording.
EXP-005	2026-04-24T18:27:58Z	AUTO-005 Look for duplicated test fixture/assertion scaffolding in recent ForgeFlow tests and centralize only if it removes real drift risk without hiding intent.	test_dedup+validation_contract	Makefile; tests/test_shared_recovery_contract.py; tests/test_codex_recovery_guidance.py; tests/test_cursor_recovery_guidance.py	py_compile shared recovery; shared recovery pytest 4 passed; generate adapters pytest 6 passed; make validate PASS; python3 -m pytest -q 327 passed; git diff --check PASS	Claude ACP unavailable (unknown option '--acp'); fallback reviewer KEEP: centralized coverage preserves adapter recovery contract; noted optional alias targets only if downstream depends on them	Codex ACP unavailable (unexpected argument '--acp'); fallback reviewer KEEP: no stale refs/CI drift; applied suggestion to derive shared rules dynamically from canonical YAML	KEEP	Removed duplicated Codex/Cursor recovery guidance test files and Make smoke targets; strengthened shared recovery contract test to parse all canonical YAML bullet rules so future recovery-rule additions remain covered.
EXP-006	2026-04-24T18:44:26Z	AUTO-006 Inspect release/first-clone setup docs against scripts and add a regression if setup commands can drift.	docs_runtime_contract+test_guard	INSTALL.md; tests/test_first_clone_setup.py	RED failed before doc update; py_compile check_environment/release PASS; focused pytest PASS; tests/test_first_clone_setup.py 7 passed; make validate PASS; git diff --check PASS	Claude ACP unavailable (unknown option --acp); fallback first found copy-paste safety blocker; after make -C fix fallback KEEP: no blockers	Codex ACP unavailable (unexpected argument --acp); fallback first found same context bug; after make -C fix fallback KEEP: test proves repo-context update path	KEEP	Updated INSTALL update path to rerun setup/check-env/validate inside checkout via make -C, with regression guarding dependency-refresh order and shell-location safety.
EXP-007	2026-04-24T18:59:40Z	AUTO-007 Inspect update/release documentation for command-context consistency and add one narrow doc contract if another copy-paste path can drift.	docs_runtime_contract+test_guard	README.md; tests/test_first_clone_setup.py	RED missing README update heading; focused pytest PASS; py_compile PASS; tests/test_first_clone_setup.py 8 passed; make validate PASS; git diff --check PASS	Claude ACP unavailable (unknown option --acp); fallback reviewer KEEP: improves copy-paste update UX and wrong-directory safety; no blockers	Codex ACP unavailable (unexpected argument --acp); fallback reviewer KEEP: narrow doc contract proves command order/context; no blockers	KEEP	Added README existing-checkout update path using git -C and make -C setup/check-env/validate; regression guards shell-context and dependency-refresh wording.
EXP-008	2026-04-24T19:19:09Z	AUTO-008 Inspect README/INSTALL validation snippets for remaining duplicate command-order assumptions and centralize or test one adjacent drift-prone contract if found.	runtime_validation_contract+docs+ci_test_guard	.github/workflows/validate.yml; Makefile; README.md; tests/test_first_clone_setup.py	RED README doc test failed before README change; RED Makefile venv contract failed before Makefile change; RED CI venv-order test failed before workflow change; tests/test_first_clone_setup.py 10 passed; make check-env && make validate PASS using .venv/bin/python; git diff --check PASS	Claude ACP unavailable (unknown option '--acp'); fallback final reviewer KEEP: venv-backed validation improves fresh-clone UX and ambient Python safety; no blockers	Codex ACP unavailable (unexpected argument '--acp'); fallback final reviewer KEEP after CI drift fix: tests cover Makefile/README/CI contract; no blockers	KEEP	Aligned fresh-clone validation contract across README, Makefile, and CI so setup/check-env/validate use the repo-managed venv; added focused regression guards.
EXP-009	2026-04-24T19:36:41Z	AUTO-009 Audit auxiliary Makefile smoke targets that still use ambient python/pytest and add one narrow contract or alignment only if it reduces validation drift without broadening scope.	makefile_runtime_contract+test_guard	Makefile; tests/test_first_clone_setup.py	RED failed on ambient pytest and then smoke-claude-plugin gap; py_compile PASS; tests/test_first_clone_setup.py 11 passed; make validate PASS; git diff --check PASS	Claude ACP unavailable (unknown option --acp); fallback first found smoke-claude-plugin gap; final fallback KEEP with minor nonblocking count-assert note	Codex ACP unavailable (unexpected argument --acp); fallback final KEEP: all smoke targets use venv and regression proof adequate	KEEP	Aligned auxiliary smoke targets, including smoke-claude-plugin, to $(VENV_PYTHON)/$(VENV_PYTHON) -m pytest and added regression guarding no ambient pytest or $(PYTHON) scripts in smoke block. Commit cca30d3.
EXP-010	2026-04-24T19:50:18Z	AUTO-010 Inspect remaining non-smoke Makefile helper targets for ambient Python drift and add one narrow contract or alignment only if it affects fresh-clone validation consistency.	makefile_runtime_contract+test_guard	Makefile; tests/test_first_clone_setup.py	RED focused test failed on ambient $(PYTHON) helper targets; py_compile PASS; focused test PASS; tests/test_first_clone_setup.py 12 passed; make validate PASS; git diff --check PASS	Claude ACP unavailable (unknown option '--acp'); fallback reviewer KEEP: improves first-clone/runtime helper UX and venv safety; no blockers	Codex ACP unavailable (unexpected argument '--acp'); fallback reviewer KEEP: negative section guard covers key drift; no blockers	KEEP	Aligned non-setup Makefile helper targets to $(VENV_PYTHON) and added regression preventing ambient $(PYTHON) scripts in helper section; production behavior unchanged except interpreter consistency.
